id;d_spell;f_spell;champion;side;role;assists;damage_objectives;damage_building;damage_turrets;deaths;gold_earned;kills;time_cc;damage_total;damage_taken;total_minions_killed;turret_kills;vision_score;result
42;Teleport;Flash;Graves;Blue;Top;3;2723;4673;2723;9;11469;7;15;120481;24619;165;1;25;0
43;Flash;Ignite;Nami;Blue;Support;21;3425;3425;3425;3;9082;5;28;22076;8402;13;1;40;1
44;Heal;Flash;Jhin;Red;Adc;18;7290;13293;7290;3;16420;11;34;223011;16586;232;2;18;1
45;Flash;Heal;Jhin;Red;Adc;8;4612;14801;4612;2;14580;6;26;230696;14718;226;3;28;1
46;Smite;Flash;Zed;Blue;Jungle;1;0;1940;0;6;7791;7;2;69511;17325;19;0;12;0
47;Flash;Teleport;Syndra;Blue;Mid;2;244;592;244;6;9830;5;23;110560;15646;191;0;11;0
48;Teleport;Ignite;Akali;Red;Mid;4;345;345;345;6;9372;5;2;92829;28600;172;0;21;0
49;Teleport;Flash;Zilean;Blue;Top;3;0;0;0;2;5778;1;13;55658;8946;111;0;14;1
50;Flash;Exhaust;Jinx;Blue;Adc;7;11970;22958;11970;6;15094;14;13;167771;18952;193;6;26;1
51;Flash;Exhaust;Sylas;Red;Mid;5;688;1923;688;6;8139;2;9;100546;19239;150;0;18;0
52;Flash;Cleanse;Aphelios;Red;Adc;4;836;2837;836;5;9208;5;12;102294;15116;149;0;21;0
53;Teleport;Flash;Zilean;Blue;Top;17;1454;1454;1454;2;10929;5;42;111012;18755;157;0;27;1
54;Flash;Smite;LeeSin;Red;Jungle;11;2906;33484;2906;4;15133;12;17;150977;39287;41;3;35;1
55;Flash;Smite;LeeSin;Red;Jungle;19;4715;38259;4715;2;13282;5;19;174352;39593;17;1;30;1
56;Heal;Flash;Lulu;Red;Support;3;453;841;453;3;4226;0;14;7136;6970;15;0;39;0
57;Flash;Ignite;TwistedFate;Blue;Mid;9;0;3272;0;8;11560;5;47;102544;23839;172;0;27;0
58;Flash;Teleport;Irelia;Blue;Top;5;4914;8587;4914;12;15980;5;17;213012;40299;265;2;26;0
59;Flash;Teleport;Ziggs;Red;Adc;13;5758;9251;5758;13;13678;4;36;198906;38555;210;1;29;0
60;Smite;Flash;LeeSin;Blue;Jungle;9;2238;34240;2238;3;11599;8;17;131333;23496;15;4;30;1
61;Flash;Ignite;Riven;Blue;Top;3;4014;4899;4014;3;12443;4;29;159236;26317;239;0;23;0
62;Exhaust;Flash;Akshan;Blue;Adc;6;1622;1778;1622;19;15133;9;3;201044;34160;206;0;42;0
63;Flash;Ignite;Leblanc;Red;Mid;8;1189;1189;1189;0;7561;6;17;60425;7818;113;0;17;1
64;Flash;Smite;Graves;Red;Jungle;5;0;4974;0;7;14891;10;29;238434;33104;100;0;27;0
65;Smite;Flash;JarvanIV;Blue;Jungle;9;979;6980;979;0;7480;3;9;85156;11136;11;0;25;1
66;Flash;Teleport;Fiora;Red;Top;2;8365;8365;8365;8;9314;3;8;100278;31867;150;2;6;0
67;Flash;Teleport;Ornn;Blue;Top;5;1108;2607;1108;7;9963;3;34;94230;22619;183;0;14;0
68;Flash;Heal;Jhin;Blue;Adc;12;2832;8678;2832;5;12357;6;20;150959;19676;201;1;19;0
69;Flash;Heal;Jhin;Blue;Adc;15;7351;25877;7351;3;17602;9;49;287914;21843;270;3;26;1
70;Flash;Ignite;Thresh;Red;Support;24;113;1104;113;10;8443;1;46;18677;17935;32;0;54;1
71;Ignite;Flash;Pantheon;Red;Support;16;1900;3997;1900;7;11178;9;27;69734;21939;52;1;39;1
72;Flash;Teleport;Graves;Red;Mid;2;6937;14759;6937;1;17002;19;14;209512;13571;198;2;27;1
